"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract","Thematic Classification"
"Sector-level approach to estimating mobilised private climate finance: The case of renewable energy","https://scispace.com/paper/sector-level-approach-to-estimating-mobilised-private-322j5zg27z","2015","Report Series","Research Papers in Economics","Raphaël Jachnik
Victor Raynaud","10.1787/5JRP02JNZL35-EN","https://scispace.com/pdf/sector-level-approach-to-estimating-mobilised-private-322j5zg27z.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses sector‑level framework to estimate mobilised private finance, defines causality and attribution, mentions double‑counting risks, but lacks DAC markers, UNFCCC history, and critical performativity analysis.","In order to help address climate finance-related information needs under the UNFCCC, this paper explores the extent to which currently-available secondary data make it possible to estimate private finance mobilised by developed countries for climate action in developing countries. This is done by testing the implementation of two approaches: the first one based on an analysis of an investment-related commercial database, and the second one based on the use of publicly-available private finance leverage ratios. Due to data constraints, the focus is on renewable energy as a sub-set of climate mitigation activities.
Volumes of private finance estimated as mobilised under the first approach are very partial, due to limitations of the database used, while the second approach results in highly inaccurate extrapolations due to a current lack of empirically-robust publicly-available private finance leverage ratios. These findings highlight the need for improved primary data collection, in particular by public climate finance providers on private co-finance, building upon the recent progress already achieved by a number of bilateral and multilateral development finance institutions. Further, very careful and transparent use should be made of leverage ratios, as they are highly sensitive to both the underlying calculation methods (e.g. in terms of attribution of mobilised private finance among public actors involved), as well as to core characteristics of public finance that result from varying mandates of development agencies and institutions. In any case, amounts of private finance mobilised by public actors and interventions (and ratios that can be calculated on such basis) should not necessarily be interpreted as reflecting their respective abilities to achieve effective and transformational climate action, which requires monitoring of impacts over time.","PRIMARY: PUBLIC_PRIVATE_MOBILIZATION | SECONDARY: ACCOUNTING_MEASUREMENT, TRANSPARENCY_DOUBLE_COUNTING"
"Comparing Definitions and Methods to Estimate Mobilised Climate Finance","https://scispace.com/paper/comparing-definitions-and-methods-to-estimate-mobilised-4jj0wylvuv","2013","Report Series","Research Papers in Economics","Randy Caruso
Jane Ellis","10.1787/5K44WJ0S6FQ2-EN","https://scispace.com/pdf/comparing-definitions-and-methods-to-estimate-mobilised-4jj0wylvuv.pdf","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses comparative analysis of mobilised finance definitions, highlights tracking challenges, and proposes mitigation for double‑counting, but lacks OECD‑DAC, UNFCCC, and critical‑political perspectives.","At the 16th Conference of the Parties (COP) in 2010, developed countries formalised a collective climate finance commitment made previously in Copenhagen of “mobilising jointly USD 100 billion per year by 2020 to address the needs of developing countries...from a wide variety of sources, public and private, bilateral and multilateral, including alternative sources” (UNFCCC, 2010). However, there is currently no definition of which “climate” activities, flows, or other interventions could count towards the USD 100 billion; what “mobilising” means; or even which countries are covered by this commitment. The paper examines different definitions used by 24 key actors in climate finance to quantify the level of private climate finance mobilised by their interventions, as well as the methods used to track such private climate finance. Key findings are that i) methodologies to assess and estimate mobilisation vary widely, and ii) considerable risk of double-counting exists.",""
"Towards Climate Finance Transparency","https://scispace.com/paper/towards-climate-finance-transparency-3dfxhj7qpg","2012","","","Maya Forstater","","https://scispace.com/pdf/towards-climate-finance-transparency-3dfxhj7qpg.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses transparency standards to critique how climate finance numbers are presented, engages with additionality and leverage debates, mentions UNFCCC reporting reforms, and offers a strong critical lens on the politics of quantification.","",""
"Estimating mobilized private finance for adaptation: exploring data and methods","https://scispace.com/paper/8QPPzR63X6QJ","","","","J Brown
M Stadelmann
D Wang","","https://climatepolicyinitiative.org/wp-content/uploads/2015/11/Estimating-mobilized-private-finance-for-adaptation-Exploring-data-and-methods.pdf","- **Relevance Score:** 33/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses novel estimation framework to quantify publicly‑mobilized private adaptation finance, directly tracking mobilised private flows and addressing additionality. Does not engage OECD DAC markers, double‑counting safeguards, UNFCCC history, or critical performativity analysis.","","PRIMARY: PUBLIC_PRIVATE_MOBILIZATION | SECONDARY: ACCOUNTING_MEASUREMENT, ADDITIONALITY_ODA"
"Public climate finance: the challenge of reporting equity","https://scispace.com/paper/public-climate-finance-the-challenge-of-reporting-equity-1byoc22ro5","2017","Posted Content","Research Papers in Economics","Kris Bachus
Emilie Bécault","","","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses equity valuation methods to address OECD DAC grant‑equivalent debates; reviews various approaches rather than presenting new methodology; touches on private‑finance tracking but lacks double‑counting, UNFCCC history, or critical performativity analysis.","There is currently no agreed comprehensive methodology on how to track and report on public climate finance. One of the difficulties – next to determining the climate relevance of projects funded– is the valuation of financial instruments other than grants (i.e. loans, guarantees, equity). For loans, the calculation of the grant equivalent of the financial flow is relatively straightforward, but for equity, it is unclear what the best way is to value the grant equivalent. Hence, the primary objective of this research paper is to provide an overview of the variety of methods that can be used to value the provision of public climate finance to developing countries through equity investments. In this endeavour, special attention will be paid to recent debates taking place in the context of the modernisation of the OECD DAC statistical system about how to better represent the donor effort involved in extending private sector instruments and especially equity investments.","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: CONCESSIONALITY_GRANT_EQUIV, PUBLIC_PRIVATE_MOBILIZATION"
"New and additional to what? Assessing options for baselines to assess climate finance pledges","https://scispace.com/paper/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8","2011","Journal Article","Climate and Development","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.1080/17565529.2011.599550","https://scispace.com/pdf/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses baseline options to examine ODA vs climate finance separation, highlighting double‑counting risks and transparency. Touches on political framing of mainstreaming, but lacks detailed methodology, Rio marker analysis, private‑finance tracking, and UNFCCC historical synthesis.","All major climate policy agreements – the UN Framework Convention, the Kyoto Protocol and recently the Cancun Agreements – have stated that climate finance for developing countries will be ‘new and additional’. However, the term ‘new and additional’ has never been properly defined. Agreeing to a system to measure a baseline from which ‘new and additional’ funding will be calculated will be central to building trust and realizing any post-Kyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ‘new sources only' and ‘above pre-defined business as usual level of development assistance’.","PRIMARY: ADDITIONALITY_ODA | SECONDARY: DEFINITIONS_EVOLUTION, ACCOUNTING_MEASUREMENT"
"Is transparency furthering clarity in multilateral climate governance? The case of climate finance","https://scispace.com/paper/is-transparency-furthering-clarity-in-multilateral-climate-2ui01golpted","2024","Journal Article","International Environmental Agreements-politics Law and Economics","Robert Bergsvik
Aarti Gupta
Romain Weikmans
Ina Möller","10.1007/s10784-024-09652-y","https://link.springer.com/content/pdf/10.1007/s10784-024-09652-y.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses transparency analysis to examine multilateral climate finance reporting, offering concrete mitigation strategies for double‑counting. Discusses performative politics, but lacks detailed methodology, Rio markers, private‑finance tracking, and UNFCCC historical assessment.","","PRIMARY: TRANSPARENCY_DOUBLE_COUNTING | SECONDARY: STS_PERFORMATIVITY, ACCOUNTING_MEASUREMENT"
"Practical methods for assessing private climate finance flows","https://scispace.com/paper/practical-methods-for-assessing-private-climate-finance-4fo6bpn959","2014","Book","","Julia Illman
Mikko Halonen
Shelagh Whitley
Nella Canales Trujillo","","http://norden.diva-portal.org/smash/get/diva2:702970/FULLTEXT01","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses practical assessment tools to track private climate finance and discuss additionality. Provides some guidance on transparency and double‑counting, but lacks deep OECD‑DAC marker work, UNFCCC history, or critical performativity analysis.","In spite of the climate finance commitment by the developed countries to mobilise jointly 100 billion USD per year by 2020 to address the needs of developing countries from a wide variety of source ...","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: PUBLIC_PRIVATE_MOBILIZATION, GLOBAL_SOUTH_PERSPECTIVES"
"Reporting of Climate Finance under the UNFCCC","https://scispace.com/paper/pMiiW9rZTwgJ","","","","L y el Caribe
M Köhler
D Eckstein","","https://cfas.info/sites/default/files/anhang/2016%20CFAS%20Fact%20Sheet%20Reporting%20of%20Climate%20Finance%20under%20the%20UNFCCC-final.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses UNFCCC reporting framework and Rio markers to improve climate‑finance accounting; offers limited methodological innovation and lacks private‑finance, double‑counting, or critical‑political analysis.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: INSTITUTIONAL_GOVERNANCE, ADDITIONALITY_ODA"
"Vietnam, a Donor Darling of Adaptation Aid? The Credibility of the Rio Marker 'Adaptation'Put to The Test","https://scispace.com/paper/awTjfJDUg0IJ","","","","R Weikmans","","https://dipot.ulb.ac.be/dspace/bitstream/2013/239315/3/weikmans_working_paper_8_en_adaptation_aid_vietnam.pdf","- **Relevance Score:** 31/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Tests Rio marker credibility in Vietnam, offering detailed concessionality analysis; provides limited methodological innovation and modest critical reflection, but lacks private‑finance, double‑counting, UNFCCC history, and broader performativity depth.","","PRIMARY: ACCOUNTING_MEASUREMENT | SECONDARY: CONCESSIONALITY_GRANT_EQUIV, POLICY_EMPIRICAL"
"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance","https://scispace.com/paper/postface-fragmentation-failing-trust-and-enduring-tensions-15fqg1896o","2017","Journal Article","International Environmental Agreements-politics Law and Economics","J. Timmons Roberts
Romain Weikmans","10.1007/S10784-016-9347-4","https://scispace.com/pdf/postface-fragmentation-failing-trust-and-enduring-tensions-15fqg1896o.pdf","- **Relevance Score:** 30/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses UNFCCC reporting history to critique fragmented governance; highlights political ambiguity and transparency gaps; lacks concrete accounting methods, Rio markers, or private‑finance tracking.","The Paris Agreement commits nations in Article 2(1) to “Making finance flows consistent with a pathway towards low greenhouse gas emissions and climate-resilient development.” However there is an absence of internationally agreed accounting rules that would permit overall assessments of progress to this goal and any meaningful comparisons of performance between countries. This is true also for the quantitative Copenhagen/Cancun promise by developed nations to jointly mobilize US$100 billion by 2020. Our goal is to provoke discussion about the depth of the problems this lack of a functional definition and accounting system have created and perpetuated. We do so by describing the fragmented system of national reporting of climate finance and how the OECD’s Rio Marker system is serving neither contributors nor recipients. More than a trust issue between developed and developing countries, we argue that the lack of modalities to account for climate finance also considerably impedes the effective functioning of the bottom-up approach that now prevails under the UNFCCC. The deadline to propose ""modalities of accounting climate finance"" by 2018 is a crucial window in which to address this chronic issue in international climate policy.",""
"Same but different? Understanding divergent definitions of and views on climate finance","https://scispace.com/paper/same-but-different-understanding-divergent-definitions-of-j3xim6db","2022","Book Chapter","","","10.4337/9781784715656.00007","","- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Discusses divergent definitions and accounting debates, highlighting political stakes and transparency concerns, but lacks primary methodology, OECD markers, private‑finance tracking, and UNFCCC historical analysis.","This chapter unpacks the diverging definitions and accounting methods of climate finance. Attaining consensus among Parties on these issues is crucial in light of the new collective quantified goal on climate finance that is being defined until the end of 2024. In the following we describe and discuss the main controversies - notably questions regarding the eligibility of climate-related activities and counting of different finance instruments towards international commitments, the relationship between climate and development finance as well as the accounting for of 'negative' climate finance. We argue that the international community needs high-level institutional change and leadership to facilitate a fast, goal-oriented and consensual process to resolve these issues. In the absence of such convergence, attaining the objectives of the Paris Agreement will continue to suffer from a hodgepodge of institutional approaches to defining, counting and accounting for climate finance. ",""
"Estimating mobilized private climate finance for developing countries-A Norwegian pilot study","https://scispace.com/paper/NfuL0Jf5J1EJ","","","","A Torvanger
P Narbel
HF Lund","","","- **Relevance Score:** 27/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses a Norwegian pilot to estimate mobilised private climate finance for developing countries, directly addressing tracking and additionality. Provides a methodological estimate but lacks DAC marker, double‑counting, UNFCCC history, or critical performativity analysis.","",""
