"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Post-2025 climate finance target: how much more and how much better?","https://scispace.com/paper/post-2025-climate-finance-target-how-much-more-and-how-much-2hnu5zum","2022","Journal Article","Climate Policy","W.P. Pauw
Ulf Moslener
Luis Zamarioli
Niranjali Manel Amerasinghe
Joanes Atela
J. P. B. Affana
Brian Buchner
Richard J. T. Klein
Kennedy Mbeva
Jyotsna Puri
J.S. Roberts
Zoha Shawoo
Christian N. Watson
Romain Weikmans","10.1080/14693062.2022.2114985","https://www.tandfonline.com/doi/pdf/10.1080/14693062.2022.2114985%4010.1080/tfocoll.2023.0.issue-Climate-Finance-and-Greener-Finance","… To increase transparency, accountability, and trust in climate finance under the UNFCCC and to simultaneously allow for the mobilisation of finance at scale, we suggest setting a sub-…",""
"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance","https://scispace.com/paper/postface-fragmentation-failing-trust-and-enduring-tensions-15fqg1896o","2017","Journal Article","International Environmental Agreements-politics Law and Economics","J. Timmons Roberts
Romain Weikmans","10.1007/S10784-016-9347-4","https://cssn.org/wp-content/uploads/2020/12/Roberts-Weikmans2017_Article_PostfaceFragmentationFailingTr.pdf","… Transparency on climate finance has been identified by … climate finance reporting and accounting under the UNFCCC pose significant barriers to achieving climate finance transparency …","The Paris Agreement commits nations in Article 2(1) to “Making finance flows consistent with a pathway towards low greenhouse gas emissions and climate-resilient development.” However there is an absence of internationally agreed accounting rules that would permit overall assessments of progress to this goal and any meaningful comparisons of performance between countries. This is true also for the quantitative Copenhagen/Cancun promise by developed nations to jointly mobilize US$100 billion by 2020. Our goal is to provoke discussion about the depth of the problems this lack of a functional definition and accounting system have created and perpetuated. We do so by describing the fragmented system of national reporting of climate finance and how the OECD’s Rio Marker system is serving neither contributors nor recipients. More than a trust issue between developed and developing countries, we argue that the lack of modalities to account for climate finance also considerably impedes the effective functioning of the bottom-up approach that now prevails under the UNFCCC. The deadline to propose ""modalities of accounting climate finance"" by 2018 is a crucial window in which to address this chronic issue in international climate policy."
"… for closing the trillion-dollar climate investment gap: A multi-stakeholder framework integrating public policy, private capital, and carbon accounting standards","https://scispace.com/paper/RVKypGtmNcQJ","","","","FM Ogunyemi","","https://www.researchgate.net/profile/Feyisayo-Ogunyemi/publication/397641476_Green_financing_mechanisms_for_closing_the_trillion-dollar_climate_investment_gap_A_multi-stakeholder_framework_integrating_public_policy_private_capital_and_carbon_accounting_standards/links/691d85801bb5f2388c2301df/Green-financing-mechanisms-for-closing-the-trillion-dollar-climate-investment-gap-A-multi-stakeholder-framework-integrating-public-policy-private-capital-and-carbon-accounting-standards.pdf","… , private investment vehicles, and carbon accounting standards continues to hinder large-scale … that bridging the climate finance gap depends on institutionalized transparency, cross-…",""
"Climate finance: too much on detail, too little on the big picture?","https://scispace.com/paper/climate-finance-too-much-on-detail-too-little-on-the-big-1udgawffv7","2018","Journal Article","Carbon and Climate Law Review","Ralph Bodle
Vicky Noens","10.21552/CCLR/2018/3/11","https://scholar.archive.org/work/ntcizom45bdetbnwsq7gu3r2ky/access/wayback/https://cclr.lexxion.eu/data/article/13319/pdf/cclr_2018_03-012.pdf","… Information is provided ex post through the transparency framework, which we discuss in more detail in Section IV. In addition, under Article 9(5) developed country Parties have to …",""
"Estimating mobilised private climate finance: methodological approaches, options and trade-offs","https://scispace.com/paper/_qmgUPYiCWcJ","","","","R Jachnik
R Caruso
A Srivastava","","https://www.oecd.org/content/dam/oecd/en/publications/reports/2015/02/estimating-mobilised-private-climate-finance_g17a25d8/5js4x001rqf8-en.pdf","… per year of climate finance by 2020, in the context of meaningful action and transparency on … , reporting and verification (MRV) system for climate finance under the UNFCCC is outside …",""
"Distributed ledger technology and climate finance","https://scispace.com/paper/distributed-ledger-technology-and-climate-finance-9oppom07","2022","Book Chapter","","Wiebke Vorrath","10.1007/978-981-19-2662-4_13","https://research.rug.nl/files/241731327/978_981_19_2662_4_13.pdf","… This means streamlining MRV processes is pivotal in boosting climate finance from the investor perspective. The streamlining process can be facilitated by using DLT to directly link …","Enormous amounts of capital will need to be mobilized in the coming decades to drive the transition of our global economy toward climate neutrality. In recent years, the financial system started to move in a more environmentally sustainable direction, inter alia offering more green investment opportunities. Speeding up this process is inevitable if humanity wants to meet the Sustainable Development Goals (SDGs) and achieve the targets of the Paris Climate Agreement. Distributed Ledger Technology (DLT) may enable climate finance to effectively accelerate this transition toward sustainability. Inherent characteristics like security, immutability, transparency, and auditability make DLT a highly promising tool for climate-related use cases. However, the mainstream adoption of these digital innovations is still constrained by various obstacles, including technological and regulatory barriers, especially in the highly regulated finance sector. Existing digital divides between developed and developing nations further exacerbate these challenges. Based on these initial deliberations, this chapter shows how DLT can be used effectively for innovative climate finance. We first introduce the technology and discuss its sustainability as well as different possible DLT governance structures. Based on this introduction, we provide an overview of sustainability-related initiatives and networks linked to DLT. We review various DLT applications in Decentralized Finance (DeFi), asset management, Measurement, Reporting and Verification (MRV), tokenization, and other relevant fields. We conclude with an outlook on the role of DLT in climate finance and present recommendations for overcoming some of the remaining risks and obstacles. "
"Same but different? Understanding divergent definitions of and views on climate finance","https://scispace.com/paper/same-but-different-understanding-divergent-definitions-of-j3xim6db","2022","Book Chapter","","I Shishlov
P Censkowsky","10.4337/9781784715656.00007","","… -tracking organisations to achieve more coherence falls under its key mandate, the SCF has neither the resources nor (despite the MRV task mentioned above) a generally accepted …","This chapter unpacks the diverging definitions and accounting methods of climate finance. Attaining consensus among Parties on these issues is crucial in light of the new collective quantified goal on climate finance that is being defined until the end of 2024. In the following we describe and discuss the main controversies - notably questions regarding the eligibility of climate-related activities and counting of different finance instruments towards international commitments, the relationship between climate and development finance as well as the accounting for of 'negative' climate finance. We argue that the international community needs high-level institutional change and leadership to facilitate a fast, goal-oriented and consensual process to resolve these issues. In the absence of such convergence, attaining the objectives of the Paris Agreement will continue to suffer from a hodgepodge of institutional approaches to defining, counting and accounting for climate finance. "
"Towards Robust Climate Finance Accounting: Implications for the Us Economy","https://scispace.com/paper/towards-robust-climate-finance-accounting-implications-for-r7aigqh9a9","2024","article","Social Science Research Network","E Adeboye
V Ekere
G Labisi","10.2139/ssrn.4830218","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=4830218","… RECOMMENDATIONS This section contains some of the evidence-based recommendations in order to advance climate finance accounting standards in the United States and harness …","The urgent need to combat climate change has elevated climate finance accounting to a critical position in global discourse. The presented article delineates the imperative of robust climate finance accounting in addressing climate change and explores its implications for the U.S. economy. The current climate finance landscape within the United States is examined, encompassing government initiatives, private sector investments, and international commitments. An analysis of existing climate finance accounting methods and frameworks reveals their strengths, weaknesses, and notable limitations. Economic implications are discussed, elucidating the intricate interconnection between climate finance and key sectors such as renewable energy, infrastructure, and innovation. Furthermore, the environmental and social benefits resulting from effective climate finance accounting are underscored. The article places U.S. climate finance accounting in a global context, emphasizing the necessity for harmonizing accounting practices on an international scale. Challenges in current accounting practices are identified, stressing the vital role of robust accounting in informed decision-making and efficient resource allocation. The article culminates in recommendations and case studies, illustrating the transformative impact of enhanced climate finance accounting, highlighting the urgent need for a sustainable future that balances economic prosperity and environmental preservation. "
"The role of carbon market mechanisms in climate finance","https://scispace.com/paper/the-role-of-carbon-market-mechanisms-in-climate-finance-2kyl6chu","2022","Book Chapter","","A Espelage
HM Ahonen","10.4337/9781784715656.00023","","… by robust accounting that ensures avoidance of double-counting of the underlying finance (as both carbon and climate finance), as well as double-counting of the underlying mitigation …","This chapter looks at enhanced direct Access (EDA), an innovative programmatic access modality for multilateral climate funds under which funding decisions are delegated to the recipient national or sub-national level. It begins by looking at historic precursors, such as the Marshall Plan in Germany, and then turns to discuss the evolution of EDA in international climate finance, and ends with conclusions on the way forward. "
"CLIMATE FINANCE SHADOW REPORT 2023","https://scispace.com/paper/climate-finance-shadow-report-2023-69vbsrwketx9","2024","Journal Article","Climate Change and Law Collection","F SHADOW","10.1163/9789004322714_cclc_2023-0060-0340","https://www.oxfam.org.tw/tc/f/news_and_publication/96599/172506/bp-climate-finance-shadow-report-050623.pdf","… in climate finance by 2020 has been missed.Based on the current accounting and reporting practices applied by climate finance contributors, total climate finance … TRANSPARENCY IN …",""
