doi,title,first_author,year,journal,cited_by_count,cit_per_year,score,is_institutional_report
10.3390/su10082895,"Peak Carbon Emissions in China: Status, Key Factors and Countermeasures—A Literature Review",Feng Dong,2018.0,Sustainability,66.0,8.25,0.2441,False
10.1088/1748-9326/acb502,Uncompensated claims to fair emission space risk putting Paris Agreement goals out of reach,Gaurav Ganti,2023.0,Environmental Research Letters,27.0,9.0,0.243,False
10.1080/14693062.2018.1515061,Implementing climate change adaptation: lessons from India’s national adaptation fund on climate change (NAFCC),Ravi Shankar Prasad,2018.0,Climate Policy,52.0,6.5,0.2414,False
10.3390/su12083406,Environmental and Socioeconomic Impacts of Urban Waste Recycling as Part of Circular Economy. The Case of Cuenca (Ecuador),Damián Burneo,2020.0,Sustainability,60.0,10.0,0.2412,False
10.3390/su17020569,"China’s Rural Revitalization Policy: A PRISMA 2020 Systematic Review of Poverty Alleviation, Food Security, and Sustainable Development Initiatives",Yan‐feng Wang,2025.0,Sustainability,10.0,10.0,0.2412,False
10.3389/past.2025.14225,Climate change impacts and mitigation strategies in Sub-Saharan Africa’s livestock production sector. A brief review,Kelvin Ngongolo,2025.0,Pastoralism Research Policy and Practice,10.0,10.0,0.2412,False
10.5089/9798400250095.006,"Structural Reforms to Accelerate Growth, Ease Policy Trade-offs, and Support the Green Transition in Emerging Market and Developing Economies",Nina Budina,2023.0,IMF staff discussion note,24.0,8.0,0.2392,True
10.3389/fpsyg.2022.879741,RETRACTED: How Do Green Finance and Energy Efficiency Mitigate Carbon Emissions Without Reducing Economic Growth in G7 Countries?,Fang Zhen,2022.0,Frontiers in Psychology,33.0,8.25,0.2382,False
10.1596/9780821388631_ch14,Developments in Climate Finance from Rio to Cancun,Charlotte Streck,2011.0,The World Bank eBooks,2.0,0.13,0.2367,True
10.3390/su151612109,Innovation-Led Environmental Sustainability in Vietnam—Towards a Green Future,Qianyi Li,2023.0,Sustainability,29.0,9.67,0.2356,False
10.3390/agriculture13071429,Can Digital Finance Improve China’s Agricultural Green Total Factor Productivity?,Huiquan Li,2023.0,Agriculture,29.0,9.67,0.2356,False
10.1111/1758-5899.12294,Reinvigorating International Climate Policy: A Comprehensive Framework for Effective Nonstate Action,Sander Chan,2015.0,Global Policy,,0.0,0.234,False
10.1002/2016ef000392,The world's biggest gamble,Johan Rockström,2016.0,Earth s Future,82.0,8.2,0.2329,False
10.1787/1995283x,OECD Journal: General Papers,OECD,2024.0,OECD Journal General Papers,19.0,9.5,0.2329,True
10.3386/w19824,Linkage of Greenhouse Gas Emissions Trading Systems: Learning from Experience,Matthew Ranson,2014.0,,91.0,7.58,0.2325,False
10.1596/13401,State and Trends of the Carbon Market 2010,Alexandre Kossoy,2010.0,"World Bank, Washington, DC eBooks",151.0,9.44,0.2318,True
10.3389/fsufs.2019.00066,Gender Integration in Climate Change and Agricultural Policies: The Case of Nepal,Bimala Rai Paudyal,2019.0,Frontiers in Sustainable Food Systems,66.0,9.43,0.2317,False
10.1787/5k9312v21l6f-en,The Role of Institutional Investors in Financing Clean Energy,Christopher Kaminker,2012.0,"OECD working papers on finance, insurance private pensions",129.0,9.21,0.2281,True
10.1787/5js6b1r9lfd4-en,Public Interventions and Private Climate Finance Flows: Empirical Evidence from Renewable Energy Financing,Ivan Haščič,2015.0,OECD environment working papers,46.0,4.18,0.2278,True
10.1093/wbro/lkad009,Measuring Total Carbon Pricing,Paolo Agnolucci,2023.0,The World Bank Research Observer,26.0,8.67,0.2189,True
10.1787/5js4x001rqf8-en,Estimating Mobilised Private Climate Finance,Raphaël Jachnik,2015.0,OECD environment working papers,25.0,2.27,0.2183,True
10.18235/0002528,2019 Joint Report on Multilateral Development Banks Climate Finance,African Development Bank,2020.0,,15.0,2.5,0.218,True
10.1787/5k9312twnn44-en,Defining and Measuring Green Investments,Georg Inderst,2012.0,"OECD working papers on finance, insurance private pensions",67.0,4.79,0.2169,True
10.5089/9798400254550.001,Cross-Border Risks of a Global Economy in Mid-Transition,Étienne Espagne,2023.0,IMF Working Paper,22.0,7.33,0.2149,True
10.5089/9781513590677.001,Climate Change in South Asia: Further Need for Mitigation and Adaptation,Eugenio Cerutti,2021.0,IMF Working Paper,42.0,8.4,0.2145,True
10.3390/su13020860,"Clean Development, Energy Substitution, and Carbon Emissions: Evidence from Clean Development Mechanism (CDM) Project Implementation in China",Beibei Shi,2021.0,Sustainability,40.0,8.0,0.2117,True
10.1596/978-1-4648-1218-7,State and Trends of Carbon Pricing 2017,World Bank,2017.0,"Washington, DC: World Bank eBooks",74.0,8.22,0.2115,True
10.1787/5k44xwtk9tvk-en,Tracking Climate Finance,Christa Clapp,2012.0,OECD/IEA climate change expert group papers,20.0,1.43,0.2082,True
10.18235/0001736,2018 Joint Report on Multilateral Development Banks Climate Finance,African Development Bank,2019.0,,56.0,8.0,0.2078,True
10.1596/978-0-8213-7304-0,Financing Energy Efficiency,Robert P. Taylor,2008.0,The World Bank eBooks,120.0,6.67,0.206,True
10.1787/2abd9ce2-en,Africa Energy Outlook 2022,International Energy Agency,2022.0,OECD eBooks,23.0,5.75,0.2016,True
10.5089/9781513582689.007,2021 Comprehensive Surveillance Review— Background Paper on Integrating Climate Change into Article IV Consultations,"International Monetary Fund. Strategy, Policy, & Review Department",2021.0,MF Policy Paper,14.0,2.8,0.1942,True
10.1596/41729,Maldives Country Climate and Development Report,World Bank Group,2024.0,World Bank,,0.0,0.1905,True
10.1787/5kmfj2xvcmkf-en,A Framework for Assessing Green Growth Policies,Alain de Serres,2010.0,OECD Economics Department working papers,111.0,6.94,0.19,True
10.1596/27817,Climate Finance,Shilpa Patel,2010.0,"World Bank, Washington, DC eBooks",21.0,1.31,0.1889,True
10.1142/s2010495223500070,Greenhouse Gas Emissions and the Rising Effects of Renewable Energy Consumption and Climate Risk Development Finance: Evidence from BRICS Countries,Bisharat Hussain Chang,2023.0,Annals of Financial Economics,19.0,6.33,0.1834,True
10.1596/1813-9450-8914,"Climate Finance, Carbon Market Mechanisms and Finance “Blending” as Instruments to Support NDC Achievement under the Paris Agreement",Jon Strand,2019.0,"World Bank, Washington, DC eBooks",8.0,1.14,0.1822,True
10.1596/28510,State and Trends of Carbon Pricing 2017,EcofysWorld BankVivid Economics,2017.0,World Bank eBooks,58.0,6.44,0.1818,True
10.2991/assehr.k.200529.206,Green Sukuk: Sustainable Financing Instruments for Infrastructure Development in Indonesia,Lastuti Abubakar,2020.0,"Proceedings of the 1st Borobudur International Symposium on Humanities, Economics and Social Sciences (BIS-HESS 2019)",24.0,4.0,0.1782,True
10.1596/1813-9450-7448,The Effect of Metro Expansions on Air Pollution in Delhi,Deepti Goel,2015.0,"World Bank, Washington, DC eBooks",9.0,0.82,0.1774,True
10.5089/9781513573366.001,Climate Action to Unlock the Inclusive Growth Story of the 21st Century,Maksym Ivanyna,2021.0,IMF Working Paper,21.0,4.2,0.1765,True
10.1787/f685d437-en,Tracking climate finance: Progress and challenges,Nicolina Lamhauge,2018.0,OECD Observer,4.0,0.5,0.1745,True
10.5089/9781616355098.007,Strengthening Infrastructure Governance for Climate-Responsive Public Investment,International Monetary Fund. Fiscal Affairs Dept.,2021.0,MF Policy Paper,30.0,6.0,0.1743,True
10.1787/7b28309b-en,The New Collective Quantified Goal on climate finance,Chiara Falduto,2024.0,OECD/IEA climate change expert group papers,12.0,6.0,0.1743,True
10.1080/20430795.2024.2370325,Where and how machine learning plays a role in climate finance research,Andrés Alonso-Robisco,2024.0,Journal of Sustainable Finance & Investment,11.0,5.5,0.1738,True
10.1787/4fdf9eaf-en,Climate-resilient infrastructure,Lisa Danielson,2018.0,OECD environment policy papers,45.0,5.62,0.1681,True
10.5089/9798229004091.001,Laying the Ground for Scaling up Climate Finance in Sub-Saharan Africa,Edward Gemayel,2025.0,IMF Working Paper,5.0,5.0,0.1666,True
10.5089/9781616356521.001,"Financial Regulation, Climate Change, and the Transition to a Low-Carbon Economy: A Survey of the Issues",Pierpaolo Grippa,2021.0,IMF Working Paper,27.0,5.4,0.1643,True
10.1596/1813-9450-9443,Supporting Carbon Tax Implementation in Developing Countries through Results-Based Payments for Emissions Reductions,Jon Strand,2020.0,"World Bank, Washington, DC eBooks",6.0,1.0,0.1641,True
10.1787/224074334782,The Economics of Climate Change Mitigation,Jean-Marc Burniaux,2009.0,OECD Economics Department working papers,91.0,5.35,0.1635,True
10.1787/5jlwjg92n48x-en,What Enables Effective International Climate Finance in the Context of Development Co-operation?,Sáni Ye Zou,2016.0,OECD development co-operation working papers,9.0,0.9,0.1635,True
10.1596/40700,State and Trends of Carbon Pricing: International Carbon Markets,World Bank,2023.0,"Washington, DC: World Bank eBooks",16.0,5.33,0.1632,True
10.1093/wbro/lkad011,The Relationship between Climate Action and Poverty Reduction,Hans Peter Lankes,2023.0,The World Bank Research Observer,14.0,4.67,0.1625,True
10.5089/9781513525792.001,Enhancing Macroeconomic Resilience to Natural Disasters and Climate Change in the Small States of the Pacific,Ezequiel Cabezon,2015.0,IMF Working Paper,30.0,2.73,0.162,True
10.1596/1813-9450-9251,Transformational Climate Finance: Donors' Willingness to Support Deep and Transformational Greenhouse Gas Emissions Reductions in Lower-Income Countries,Jon Strand,2020.0,"World Bank, Washington, DC eBooks",5.0,0.83,0.1613,True
10.5089/9798400293740.066,Fintech Applications for Boosting Climate Finance,Elena Loukoianova,2024.0,IMF Staff Climate Notes,9.0,4.5,0.1582,True
10.1787/a53aac3b-en,Forward-looking Scenarios of Climate Finance Provided and Mobilised by Developed Countries in 2021-2025,OECD,2021.0,Climate finance and the USD 100 billion goal,12.0,2.4,0.1573,True
10.5089/9798400210006.066,Sovereign Climate Debt Instruments,Francisco Roch,2022.0,IMF Staff Climate Notes,18.0,4.5,0.1571,True
10.1596/1813-9450-5392,Do We Need A Zero Pure Time Preference Or The Risk Of Climate Catastrophes To Justify A 2C Global Warming Target ?,J-C Hourcade,2010.0,World Bank eBooks,1.0,0.06,0.1571,True
10.1787/0ec26947-en,Blockchain technologies as a digital enabler for sustainable infrastructure,OECD,2019.0,OECD environment policy papers,15.0,2.14,0.1569,True
10.1787/5f1f4182-en,Climate Finance and the USD 100 Billion Goal,OECD,2021.0,Climate finance and the USD 100 billion goal,19.0,3.8,0.1563,True
10.1596/1813-9450-5364,"Biofuels : Markets, Targets And Impacts",Govinda R. Timilsina,2010.0,World Bank eBooks,77.0,4.81,0.1545,True
10.5089/9798400210532.001,The Great Carbon Arbitrage,Patrick Bolton,2022.0,IMF Working Paper,19.0,4.75,0.1534,True
10.1596/1813-9450-6239,The Role of Technological Change in Green Growth,David Popp,2012.0,"World Bank, Washington, DC eBooks",64.0,4.57,0.1505,True
10.22617/tcs220511-2,Unlocking Islamic Climate Finance,Asian Development Bank,2022.0,,3.0,0.75,0.1494,True
10.22617/tim189647-2,Article 6 of the Paris Agreement:,Asian Development Bank,2018.0,,6.0,0.75,0.1494,True
10.22617/tcs220398,Climate-Related Financial Disclosures 2021,Asian Development Bank,2022.0,,18.0,4.5,0.1493,True
10.1596/1813-9450-7594,Assessment of Net Mitigation in the Context of International Greenhouse Gas Emissions Control Mechanisms,Jon Strand,2016.0,"World Bank, Washington, DC eBooks",3.0,0.3,0.1491,True
10.1080/13501763.2023.2290206,Understanding political learning by scientific experts: a case of EU climate policy,Bishoy L. Zaki,2023.0,Journal of European Public Policy,13.0,4.33,0.1465,True
10.1787/a606277c-en,Estimating Publicly-Mobilised Private Finance for Climate Action,Lauren McNicoll,2017.0,OECD environment working papers,33.0,3.67,0.1452,True
10.20473/jebis.v8i2.37531,THE ROLE OF GREEN SUKUK IN REALIZING THE SUSTAINABLE DEVELOPMENT GOALS 2030 AGENDA,Donna Vanny Araminta,2022.0,Jurnal Ekonomi dan Bisnis Islam (Journal of Islamic Economics and Business),17.0,4.25,0.1451,True
10.1787/5k4559g5snzq-en,Sectoral Approaches and the Carbon Market,Richard Baron,2009.0,OECD/IEA climate change expert group papers,47.0,2.76,0.1412,True
10.1017/9781009389174,Sustaining Development in Small Islands,Matthew Louis Bishop,2025.0,Cambridge University Press eBooks,4.0,4.0,0.1409,True
10.1111/dpr.12650,The contestation of ideas behind Indonesia's rural electrification policies: The influence of global and national institutional dynamics,Hafidz Wibisono,2022.0,Development Policy Review,16.0,4.0,0.1409,True
10.1787/5k92p0c6j6r0-en,Financing Green Urban Infrastructure,Olaf Merk,2012.0,OECD regional development working papers,56.0,4.0,0.1409,True
10.1080/17565529.2016.1145102,An update on the Clean Development Mechanism in Africa in times of market crisis,Nicolas Kreibich,2016.0,Climate and Development,20.0,2.0,0.14,True
10.1596/38220,Climate and Development : An Agenda for Action - Emerging Insights from World Bank Group 2021-22 Country Climate and Development Reports,World Bank Group,2022.0,"Washington, DC: World Bank eBooks",14.0,3.5,0.1381,True
10.2139/ssrn.4664755,"Género, financiación climática y transiciones inclusivas con bajas emisiones de carbono (Gender, climate finance and inclusive low-carbon transitions)",Sejal Patel,2023.0,SSRN Electronic Journal,1.0,0.33,0.1378,False
10.1596/1813-9450-2357,Evaluating Carbon Offsets from Forestry and Energy Projects: How Do They Compare?,Kenneth M. Chomitz,2000.0,"World Bank, Washington, DC eBooks",96.0,3.69,0.1358,True
10.5089/9798400256950.006,Green Innovation and Diffusion,Zeina Hasna,2023.0,IMF staff discussion note,11.0,3.67,0.1353,True
10.5089/9798400254147.001,Global Economic Impacts of Physical Climate Risks,Caterina Lepore,2023.0,IMF Working Paper,11.0,3.67,0.1353,True
10.5089/9798400235047.001,Sovereign ESG Bond Issuance: A Guidance Note for Sovereign Debt Managers,Peter Lindner,2023.0,IMF Working Paper,11.0,3.67,0.1353,True
10.1787/5kmfwjvc83vk-en,Differentiated Intellectual Property Regimes for Environmental and Climate Technologies,Keith E. Maskus,2010.0,OECD environment working papers,58.0,3.62,0.1346,True
10.1787/bdf1ef7c-en,Overcoming barriers to clean development mechanism projects,Jane Ellis,2007.0,OECD/IEA climate change expert group papers,68.0,3.58,0.1339,True
10.1787/5kg58j1cvcvk-en,Defining and Measuring Green FDI,Stephen S. Golub,2011.0,OECD working papers on international investment,48.0,3.2,0.1338,True
10.1787/oecd_papers-v7-art3-en,Overcoming Barriers to Clean Development Mechanism Projects,Jane Ellis,2007.0,OECD Papers,55.0,2.89,0.1335,True
10.5089/9798400221972.068,Tackling the Global Food Crisis,Sebastiàn Sosa,2022.0,IMF Notes,14.0,3.5,0.1325,True
10.1596/37622,"Digital Monitoring, Reporting, and Verification Systems and Their Application in Future Carbon Markets",World Bank,2022.0,"Washington, DC: World Bank eBooks",14.0,3.5,0.1325,True
10.1787/f4c7bcbe-en,Nature-based solutions for flood management in Asia and the Pacific,Kensuke Molnar-Tanaka,2024.0,OECD Development Centre working papers,7.0,3.5,0.1325,True
10.1016/j.enpol.2024.114161,"Are West Africa's policy, planning, and regulatory frameworks missing the harmonization piece of the power pooling-renewable energy puzzle?",Mounirah Bissiri,2024.0,Energy Policy,7.0,3.5,0.1325,True
10.1596/35899,Adapting Fiscal Decentralization Design to Combat Climate Change,Jorge Martínez-Vázquez,2021.0,"World Bank, Washington, DC eBooks",17.0,3.4,0.1309,True
10.1787/ded656b4-en,The OECD DAC Blended Finance Guidance,OECD,2021.0,Best practices in development co-operation,17.0,3.4,0.1309,True
10.1787/60e338a2-en,The Climate Action Monitor 2023,OECD,2023.0,OECD climate action monitors,10.0,3.33,0.1298,True
10.18235/0005330,The Benefits and Costs of Reaching Net Zero Emissions in Latin America and the Caribbean,Nidhi Kalra,2023.0,Inter-American Development Bank eBooks,10.0,3.33,0.1298,True
10.5089/9798400227066.001,Climate Shocks and Domestic Conflicts in Africa,René Tapsoba,2022.0,IMF Working Paper,13.0,3.25,0.1284,True
10.1787/2c5b535c-en,Policy guidance on market practices to strengthen ESG investing and finance a climate transition,OECD,2022.0,OECD business and finance policy papers,13.0,3.25,0.1284,True
10.1787/1e8016d4-en,Subnational government climate expenditure and revenue tracking in OECD and EU Countries,OECD,2022.0,OECD regional development papers,13.0,3.25,0.1284,True
10.1787/5k3xr8k6jb0n-en,Institutional Investors and Green Infrastructure Investments,Christopher Kaminker,2013.0,"OECD working papers on finance, insurance private pensions",42.0,3.23,0.128,True
10.1787/236846121450,A Taxonomy of Instruments to Reduce Greenhouse Gas Emissions and their Interactions,Romain Duval,2008.0,OECD Economics Department working papers,57.0,3.17,0.127,True
10.20446/jep-2414-3197-36-4-4,Global Green Finance and Sustainability: Insights for Progressive Strategies,Johannes Jäger,2020.0,Journal für Entwicklungspolitik,13.0,2.17,0.126,False
10.18235/0012646,Stranded Assets: A Climate Risk Challenge,Theodor Cojoianu,2016.0,Inter-American Development Bank eBooks,31.0,3.1,0.1259,True
10.1596/0-8213-5755-7,Sustaining Forests,World Bank,2004.0,The World Bank eBooks,68.0,3.09,0.1257,True
10.1002/sd.2657,"Decoupling the role of renewable energy, green finance and political stability in achieving the sustainable development goal 13: Empirical insight from emerging economies",Biswanath Behera,2023.0,Sustainable Development,,0.0,0.1251,True
10.1787/fb282f7e-en,Blended finance funds and facilities,Faty Dembele,2022.0,OECD development co-operation working papers,12.0,3.0,0.1242,True
10.22617/brf240041,Mobilizing Taxes for Development,Yuho Myoda,2024.0,ADB briefs,6.0,3.0,0.1242,True
10.1787/63ef3841-en,Soil carbon sequestration by agriculture,Ben Henderson,2022.0,"OECD food, agriculture and fisheries working papers",12.0,3.0,0.1242,True
10.1093/wber/lhv056,The Effect of Metro Expansions on Air Pollution in Delhi,Deepti Goel,2015.0,The World Bank Economic Review,33.0,3.0,0.1242,True
10.5089/9798400262982.002,United Republic of Tanzania,International Monetary Fund. African Dept.,2023.0,IMF Staff Country Reports,9.0,3.0,0.1242,True
10.1787/15b16fc3-en,Financing cost impacts on cost competitiveness of green hydrogen in emerging and developing economies,Moongyung Lee,2023.0,OECD environment working papers,9.0,3.0,0.1242,True
10.1596/36610,Financing Low Carbon Transport Solutions in Developing Countries,Daniel Benítez,2021.0,"World Bank, Washington, DC eBooks",4.0,0.8,0.1233,True
10.1787/18a859bf-en,The Role of Development Finance in Climate Action Post-2015,Tara Shine,2016.0,OECD development co-operation working papers,29.0,2.9,0.1225,True
10.22617/tim189641-2,The Korea Emissions Trading Scheme:,Asian Development Bank,2018.0,,13.0,1.62,0.1221,True
10.1596/35984,Mobilizing Private Finance for Nature,World Bank,2020.0,"World Bank, Washington, DC eBooks",17.0,2.83,0.1214,True
10.1787/7c980fce-en,Aligning short-term climate action with long-term climate goals,Chiara Falduto,2020.0,OECD/IEA climate change expert group papers,17.0,2.83,0.1214,True
10.1596/25495,Financing Options for the 2030 Water Agenda,Joel Evan Kolker,2016.0,"World Bank, Washington, DC eBooks",28.0,2.8,0.1208,True
10.1787/09b46b3f-en,"Lessons on engaging with the private sector to strengthen climate resilience in Guatemala, the Philippines and Senegal",Juan Casado Asensio,2021.0,OECD development co-operation working papers,14.0,2.8,0.1208,True
10.1596/978-0-8213-9604-9,Household Energy Access for Cooking and Heating,Koffi EkouevI,2012.0,The World Bank eBooks,39.0,2.79,0.1206,True
10.1787/fmt-2015-5jrrz76d5td5,Finance and climate,Jean Boissinot,2015.0,OECD Journal Financial Market Trends,22.0,2.0,0.1206,True
10.1596/35174,Climate Change Budget Tagging,World Bank,2021.0,"World Bank, Washington, DC eBooks",7.0,1.4,0.1194,True
10.5089/9798400245367.002,Sierra Leone,International Monetary Fund. African Dept.,2023.0,IMF Staff Country Reports,8.0,2.67,0.1186,True
10.1787/35a3fbb7-en,Corporate cost of debt in the low-carbon transition,Filippo Maria D’Arcangelo,2023.0,OECD Economics Department working papers,8.0,2.67,0.1186,True
10.56506/wiuu5747,"Global Climate Challenges, Innovative Finance, and Green Central Banking",Sayuri Shirai,2023.0,Asian Development Bank Institute eBooks,8.0,2.67,0.1186,True
10.15407/economyukr.2023.12.003,РОЛЬ ЗЕЛЕНИХ ОБЛІГАЦІЙ У ФІНАНСУВАННІ СТАЛОГО РОЗВИТКУ,Олена Щербакова,2023.0,Economy of Ukraine,7.0,2.33,0.113,False
10.18267/j.polek.1363,Estimation of green bond premiums On the Chinese secondary market,Karel Janda,2023.0,Politická ekonomie,6.0,2.0,0.1075,False
10.20446/jep-2414-3197-36-4-31,The Global Political Economy of Green Finance: A Regulationist Perspective,Johannes Jäger,2020.0,Journal für Entwicklungspolitik,11.0,1.83,0.1047,False
10.5585/geas.v8i3.15766,SUSTAINABILITY RESEARCH: A GROUNDED THEORY APPROACH IN THE FIELD OF CLIMATE CHANGE,Vanessa Cuzziol Pinsky,2019.0,Revista de Gestão Ambiental e Sustentabilidade,7.0,1.0,0.1015,False
10.1007/s41358-024-00377-7,Climate financing by the German government: a win-win strategy?,Silke Ötsch,2024.0,Zeitschrift für Politikwissenschaft,3.0,1.5,0.0991,False
10.4324/9780429346231,Climate Change Justice and Global Resource Commons,Shangrila Joshi,2021.0,,7.0,1.4,0.0974,False
10.4013/rechtd.2020.123.15,The dangerous rise of Land Grabbing through Climate Change Mitigation policies: the examples of Biofuel and REDD+,Giulia Parola,2021.0,Revista de Estudos Constitucionais Hermenêutica e Teoria do Direito,7.0,1.4,0.0974,False
10.14710/geoplanning.2.2.69-81,REFLEKSI 5 TAHUN PASKA ERUPSI GUNUNG MERAPI 2010: MENAKSIR KERUGIAN EKOLOGIS DI KAWASAN TAMAN NASIONAL GUNUNG MERAPI,Hero Marhaento,2015.0,Geoplanning Journal of Geomatics and Planning,13.0,1.18,0.0938,False
10.1787/9789264249967-fr,Le financement climatique en 2013-2014 et l'objectif des 100 milliards de dollars,OCDE,2015.0,Le financement climatique et l'objectif des 100 milliards de dollars,2.0,0.18,0.0928,False
10.7172/1733-9758.2017.23.10,Ecopreneurship and Green Product Initiative (GPI): An Agenda for Nigeria’s Sustainable Development in the 21st Century,Oludele Mayowa Solaja,2017.0,Studia i Materiały Wydziału Zarządzania UW,10.0,1.11,0.0926,False
10.21608/ijppe.2023.310117,From COP27 to COP28: Global Climate Concerns Fair Transition to a Green Economy,عدلي حسين,2023.0,Al-Mağallah Al-Dawliyyaẗ Lil Sīyāsāt Al-ʿāmaẗ fi Miṣr,3.0,1.0,0.0907,False
10.38011/jhli.v1i1.9,PERAN HUKUM DI INDONESIA DALAM PENANGGULANGAN DAMPAK PERUBAHAN IKLIM,Fitri Amelina,2020.0,Jurnal Hukum Lingkungan Indonesia,6.0,1.0,0.0907,False
10.54957/jolas.v4i1.714,Pengembangan Green Bonds Di Indonesia: Upaya Pemerintah Untuk Mewujudkan Keuangan Berkelanjutan,Muslim Cendekiawan,2024.0,Journal of Law Administration and Social Science,2.0,1.0,0.0907,False
10.1007/s00506-012-0052-4,Clean development mechanism: a way to sustainable waste management in developing countries?,Maarten A. Siebel,2013.0,Österreichische Wasser- und Abfallwirtschaft,13.0,1.0,0.0907,False
10.20473/jsd.v13i1.2018.48-65,Produksi bersih dan model kerjasama sebagai upaya mitigasi emisi gas rumah kaca pada sektor industri,Muryani Muryani,2020.0,Jurnal Sosiologi Dialektika,5.0,0.83,0.088,False
10.29216/ueip.1166931,G-20 Ülkelerinin Yeşil Merkez Bankacılığı Karnelerine Göre Değerlendirilmesi / Evaluation of Countries According to Green Central Banking Scorecards,Özen AKÇAKANAT,2023.0,Uluslararası Ekonomi İşletme ve Politika Dergisi,2.0,0.67,0.0852,False
10.18778/2391-6478.s2.2023.01,"GRI (Global Reporting Initiative) jako standard raportowania informacji niefinansowych w obszarze ESG(Environmental, Social, Corporate Governance). Przypadek banków notowanych na Giełdzie Papierów Wartościowych w Warszawie",Justyna Zabawa,2023.0,Finanse i Prawo Finansowe,2.0,0.67,0.0852,False
10.4000/developpementdurable.11668,Pourquoi aider les pays en développement ? Conceptions de la justice dans l’aide à l’adaptation au changement climatique,Romain Weikmans,2017.0,Développement durable et territoires,6.0,0.67,0.0852,False
10.20473/dk.v13i1.2018.48-65,Produksi bersih dan model kerjasama sebagai upaya mitigasi emisi gas rumah kaca pada sektor industri,Muryani Muryani,2020.0,Jurnal Sosiologi Dialektika,4.0,0.67,0.0852,False
10.7596/taksad.v1i4.90,&lt;b&gt;Sürdürülebilir Kalkınma İçin Türkiye’de Düşük Karbon Ekonomisi ve Kyoto Protokolü’nün Finansman Kaynakları&lt;/b&gt; / Low Carbon Economy and Financial Sources of The Kyoto Protocol for Sustainable Development In Turkey,Mehmet Ragıp BAYRAK,2012.0,Journal of History Culture and Art Research,8.0,0.57,0.0836,False
10.32559/et.2020.1.5,Az Európai Zöld Megállapodás és a 2021-2027-es többéves pénzügyi keret kapcsolata,Klaudia Gabriella Horváth,2020.0,Európai Tükör,3.0,0.5,0.0824,False
10.4322/rbaval202412017,Brazil in the G20: Leveraging climate finance for sustainable agriculture,Joana Chiavari,2024.0,Revista Brasileira de Avaliação,1.0,0.5,0.0824,False
10.21608/alat.2024.339231,Climate Change Disclosure in Egyptian firms and its Key-Determinants Following the Implementation of Financial Regulatory Authority Decree No.108,وفاء صلاح,2024.0,Al-Maǧallaẗ Al-Miṣriyyaẗ Lil Dirāsāt Al-Tiǧāriyyaẗ /Al-Maǧallaẗ Al-Miṣriyyaẗ Lil Dirāsāt Al-Tiǧāriyyaẗ,1.0,0.5,0.0824,False
10.4000/developpementdurable.9492,Quelle intégration des pays en développement dans le régime climatique ?,Pauline Lacour,2012.0,Développement durable et territoires,6.0,0.43,0.0812,False
10.5821/ctv.8628,Instrumentos de financiación para la edificación eficiente: análisis de bonos e hipotecas verdes,Raquel Souto Rubio,2019.0,,3.0,0.43,0.0812,False
10.17524/repec.v2i3.34,REFLEXOS CONTÁBEIS E SOCIOAMBIENTAIS DOS CRÉDITOS DE CARBONO BRASILEIROS,Renata Andreza Perez,2009.0,Revista de Educação e Pesquisa em Contabilidade (REPeC),7.0,0.41,0.0809,False
10.32468/espe.88,La banca nacional de desarrollo en Colombia,José Antonio Ocampo Gaviria,2018.0,Ensayos sobre Política Económica,3.0,0.38,0.0803,False
10.21111/dauliyah.v3i2.2500,KEKUASAAN PRODUKTIF AMERIKA SERIKAT DAN KONVENSI PERUBAHAN IKLIM PASCA PARIS AGREEMENT,Fadhlan Nur Hakiem,2018.0,Dauliyah Journal of Islamic and International Affairs,3.0,0.38,0.0803,False
10.31268/studiabas.2023.12,Zrównoważone banki? Czynniki ESG w unijnych regulacjach mikroostrożnościowych,Agnieszka Smoleńska,2023.0,Studia BAS,1.0,0.33,0.0796,False
10.35319/lajed.2023esp311,El “Green Premium” en las finanzas sostenibles: reflexiones para Bolivia,Bernardo Fernandez-Telleria,2023.0,Revista Latinoamericana de Desarrollo Económico,1.0,0.33,0.0796,False
10.12819/2023.20.5.6,Gestão Socioambiental das Empresas do Setor de Siderurgia no Brasil,Flávio José de Melo,2023.0,Revista FSA,1.0,0.33,0.0796,False
10.5902/223611706315,UM ESTUDO EXPLORATÓRIO SOBRE O CRÉDITO DE CARBONO COMO FORMA DE INVESTIMENTO,Luciano Ferreira da Silva,2013.0,Revista Eletrônica em Gestão Educação e Tecnologia Ambiental,4.0,0.31,0.0792,False
10.1108/ijccsm.2012.41404aaa.010,The Economics of Climate Change,,2012.0,International Journal of Climate Change Strategies and Management,4.0,0.29,0.0788,False
10.29122/jtl.v8i1.407,Pemanasan Global Dan Keanekaragaman Hayati,Tuti Suryati,2011.0,Jurnal Teknologi Lingkungan BPPT,4.0,0.27,0.0785,False
10.24970/jbhl.v3n1.2,PERMASALAHAN DALAM PELAKSANAAN TIGA MEKANISME FLEKSIBEL DALAM PROTOKOL KYOTO,Heidy Jane,2018.0,Bina Hukum Lingkungan,2.0,0.25,0.0782,False
10.7312/ushe20088,Investing in the Era of Climate Change,Bruce W. Usher,2022.0,Columbia University Press eBooks,1.0,0.25,0.0782,False
