language_correct,language_should_be,doc_type,doi_looks_valid,refs_expected,is_climate_finance,_idx,_source,_title,_language_tag,_doi
True,,article,True,True,True,18266,openalex_historical,Would preferential access measures be sufficient to overcome current barriers to CDM projects in lea,en,10.1080/17565529.2011.582275
True,,report,True,False,False,8566,openalex_historical,People’s Republic of China Poverty Reduction and Regional Cooperation Fund: Annual Report 2021,en,10.22617/spr220541-2
True,,dissertation,True,False,False,19931,openalex_historical,At Home or Abroad: Tuvaluans Shaping a Tuvaluan Future,en,10.26686/wgtn.16959409
True,,article,True,True,True,18946,istex,"Changes in Development Finance in Asia: Trends, Challenges, and Policy Implications",eng,10.1111/j.1748-3131.2011.01199.x
True,,book-chapter,True,False,False,14064,istex,Chapter 31 - Relations Between International Organisations in Combating Climate Change,eng,10.1057/978-1-137-36039-7_31
True,,article,True,True,True,16577,openalex_historical|istex,The governance of clean energy in India: The clean development mechanism (CDM) and domestic energy p,en,10.1016/j.enpol.2013.04.019
True,,article,True,True,False,17317,istex,Barriers to increasing energy efficiency: evidence from small-and medium-sized enterprises in China,eng,10.1016/j.jclepro.2013.06.025
True,,article,True,True,False,17420,openalex|istex,"“If Equity's In, We're Out”: Scope for Fairness in the Next Global Climate Agreement",en,10.1017/s0892679412000603
True,,article,True,True,True,17301,istex,Balance sheet in the REDD+: Are global estimates measuring the wrong costs?,eng,10.1016/j.ecolecon.2012.11.022
True,,article,True,True,True,8933,openalex|scispsace,Climate finance governance: Fit for purpose?,en,10.1002/wcc.709
True,,review,True,True,True,4204,openalex|scispsace,A Review of the Global Climate Finance Literature,en,10.3390/su15021255
True,,working-paper,True,False,True,3612,openalex|scispsace,Towards Robust Climate Finance Accounting: Implications for the U.S. Economy,en,10.2139/ssrn.4830218
True,,book-chapter,True,False,True,10772,openalex|scispsace,"1. Climate Finance for Limiting Emissions and Promoting Green Development: Mechanisms, Regulation, a",en,10.18574/nyu/9780814786574.003.0007
True,,report,True,False,True,2284,grey,"Measuring, Reporting, and Verifying (MRV) Carbon Credits",en_US,10.1596/42922
True,,report,True,False,True,2338,grey,State and Trends of Carbon Pricing 2025,en_US,10.1596/978-1-4648-2255-1
True,,report,True,False,True,17336,grey,Accessing International Climate Change Related Finance in Latin America and the Caribbean,en_US,10.1596/16073
True,,article,True,True,True,6811,teaching,Adaptation and Adverse Selection in Markets for Natural Disaster Insurance,en,10.1257/pol.20200378
True,,article,True,True,True,615,teaching,How Carbon Accounting Supports Corporate Decarbonization,en,10.1561/1400000080-3
True,,article,True,True,True,12336,teaching,Climate risks and market efficiency,en,10.1016/j.jeconom.2018.09.015
